age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
31,Federal-gov,359837,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,40,Jamaica,<=50K
24,?,210679,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Self-emp-not-inc,107500,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
53,Federal-gov,478589,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
20,Federal-gov,230697,HS-grad,9,Never-married,Other-service,Unmarried,Black,Male,0,0,60,United-States,<=50K
47,Private,110373,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
29,Private,106086,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,143673,7th-8th,4,Divorced,Transport-moving,Unmarried,White,Male,0,0,38,United-States,<=50K
29,Private,285897,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
52,?,230018,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,84,United-States,<=50K
45,Private,208171,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Private,101063,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,>50K
36,Federal-gov,166581,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
28,Private,199183,Some-college,10,Married-civ-spouse,Protective-serv,Wife,White,Female,0,0,40,United-States,<=50K
35,Private,232904,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,56,United-States,<=50K
32,Private,142044,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
20,Private,241973,HS-grad,9,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,20,South,<=50K
35,Private,100905,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,35,United-States,<=50K
20,Private,251324,11th,7,Never-married,Tech-support,Other-relative,White,Male,0,0,42,United-States,<=50K
17,Private,132286,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
31,Private,176324,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,38,United-States,<=50K
34,Self-emp-not-inc,37090,HS-grad,9,Never-married,Sales,Own-child,Black,Male,0,0,31,United-States,<=50K
19,Local-gov,182289,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,75,United-States,<=50K
63,Private,165336,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
47,Private,36429,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
28,Private,197494,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Puerto-Rico,<=50K
23,?,115557,Some-college,10,Never-married,?,Own-child,White,Male,0,0,20,United-States,<=50K
26,Private,120993,10th,6,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,1719,20,United-States,<=50K
46,Private,86906,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
