age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
36,Private,48327,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1899,40,United-States,>50K
34,Private,107489,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
52,Self-emp-not-inc,150044,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K
22,Private,118672,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
56,Federal-gov,257692,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
39,State-gov,20463,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,99151,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
24,Private,202853,HS-grad,9,Divorced,Exec-managerial,Other-relative,White,Female,0,0,40,United-States,<=50K
27,Private,190809,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,50,United-States,<=50K
26,Self-emp-not-inc,307998,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3106,0,40,United-States,<=50K
44,Private,235651,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K
24,Private,142328,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
39,Private,174397,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
56,State-gov,192958,11th,7,Divorced,Other-service,Not-in-family,White,Male,0,0,52,United-States,<=50K
22,Private,225520,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
40,Private,179436,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,145927,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
36,Federal-gov,310721,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,1740,40,United-States,<=50K
32,Self-emp-not-inc,37383,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Self-emp-not-inc,386464,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
