age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
29,Self-emp-inc,104981,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,42,United-States,<=50K
23,Federal-gov,208003,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Male,0,0,40,United-States,<=50K
45,Private,54635,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,2580,0,38,United-States,<=50K
23,Private,119474,HS-grad,9,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Private,185243,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,62,United-States,>50K
18,Private,221412,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,Mexico,<=50K
38,Self-emp-inc,306388,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
24,Private,129313,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,40,United-States,<=50K
43,Private,144681,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
23,Private,173831,Doctorate,16,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,<=50K
37,State-gov,353654,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
39,Private,198681,Preschool,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Guatemala,<=50K
43,Private,210224,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,168792,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,5444,0,50,United-States,>50K
32,Private,391817,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,<=50K
36,Self-emp-not-inc,216801,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
27,Private,33003,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
73,Self-emp-not-inc,33330,7th-8th,4,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,<=50K
37,Private,161950,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,?,<=50K
34,Private,234941,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2240,50,United-States,>50K
