age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
60,Self-emp-not-inc,157383,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,<=50K
35,Private,207759,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
36,Self-emp-inc,123518,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
59,Private,179556,HS-grad,9,Widowed,?,Other-relative,White,Female,0,0,24,United-States,<=50K
43,Private,340375,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,76,United-States,>50K
29,Private,280995,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,60,United-States,>50K
58,?,224479,9th,5,Never-married,?,Other-relative,White,Female,0,0,3,United-States,<=50K
38,Federal-gov,331180,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,7315,0,40,United-States,>50K
24,Private,450109,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
37,Federal-gov,189979,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Local-gov,170949,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,28,United-States,<=50K
54,Private,178873,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,<=50K
24,Private,129711,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
29,Federal-gov,171300,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1860,52,United-States,>50K
32,Private,213100,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,25,United-States,>50K
40,Private,165733,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K
50,Private,195939,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,60,United-States,<=50K
22,Private,318446,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,27,United-States,<=50K
42,Private,189649,Some-college,10,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,30,?,<=50K
27,State-gov,211140,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
