age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
34,Private,369910,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,4409,0,40,United-States,>50K
45,Private,147483,10th,6,Divorced,Exec-managerial,Not-in-family,White,Female,0,1400,40,United-States,<=50K
45,Private,123945,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
30,Private,300475,Some-college,10,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,25,United-States,<=50K
50,Private,175845,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
32,Private,177022,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3107,0,42,United-States,<=50K
32,Self-emp-not-inc,478612,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,193038,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
25,?,193843,Masters,14,Never-married,?,Not-in-family,Black,Female,4575,0,35,United-States,<=50K
39,Private,235664,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,<=50K
26,Private,111712,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,30,United-States,<=50K
47,Private,158816,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,25,United-States,<=50K
24,Private,249998,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
65,Private,171942,10th,6,Widowed,Other-service,Other-relative,Black,Female,2340,0,6,United-States,<=50K
47,Private,333082,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
77,Private,171756,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
21,Private,208021,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,48,United-States,<=50K
26,Private,271287,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K
18,Private,225041,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,15,United-States,<=50K
26,Private,208327,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
