age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
18,Private,156183,Some-college,10,Never-married,Sales,Own-child,White,Female,0,1720,12,United-States,<=50K
46,Private,323731,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,38,Jamaica,<=50K
23,Private,127305,Some-college,10,Separated,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
21,Local-gov,130671,Assoc-voc,11,Never-married,Other-service,Own-child,Black,Female,0,0,28,United-States,<=50K
39,Private,148846,10th,6,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
24,Private,203491,11th,7,Separated,Transport-moving,Own-child,White,Male,2181,0,40,United-States,<=50K
24,Private,230522,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
58,Self-emp-not-inc,210452,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
28,Local-gov,171975,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,2278,0,37,United-States,<=50K
31,Self-emp-not-inc,215240,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,<=50K
22,Private,369784,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,1724,10,United-States,<=50K
52,Federal-gov,146753,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
42,Private,197218,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,21,United-States,>50K
20,Private,124989,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,25,United-States,<=50K
61,Private,127246,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
32,Private,189771,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,India,<=50K
23,Private,101627,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Male,0,0,35,United-States,<=50K
33,Local-gov,140022,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,20,United-States,<=50K
36,Private,105281,Masters,14,Never-married,Prof-specialty,Unmarried,White,Male,0,0,65,United-States,<=50K
44,Private,172757,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Federal-gov,76649,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,10552,0,40,United-States,>50K
47,Private,48718,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15390,0,40,United-States,>50K
41,Private,245703,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,?,<=50K
20,Never-worked,219172,11th,7,Never-married,?,Unmarried,White,Female,0,0,30,China,<=50K
37,Private,51156,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,20,United-States,<=50K
45,Private,224047,11th,7,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,0,40,Puerto-Rico,<=50K
33,Self-emp-inc,163227,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
27,Private,34455,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
50,Private,168300,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
55,Private,66114,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,65,United-States,>50K
51,Private,179610,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
32,Private,187533,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,4656,0,40,United-States,<=50K
